               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085017,            0.030811,            0.026921,             0.43864,             0.13113,            0.098291,            0.037722,            0.066754,             0.03115,            0.020308,            0.070068,           0.0033258,           0.0033258
                   1,            0.071191,             0.03038,            0.019344,             0.51989,             0.17321,             0.14816,             0.05973,            0.062954,            0.030911,            0.017073,            0.040038,           0.0066291,           0.0066291
                   2,             0.06673,            0.030486,            0.017201,             0.49728,             0.12358,             0.10476,            0.041118,            0.068285,            0.033723,            0.018853,           0.0099782,           0.0099025,           0.0099025
                   3,            0.064139,            0.030282,            0.015914,             0.52566,             0.21563,             0.20547,            0.085081,            0.059577,            0.030224,            0.014319,            0.009865,            0.009865,            0.009865
                   4,            0.062362,            0.029857,            0.014938,             0.51822,             0.19413,             0.19796,            0.087326,            0.058363,            0.031155,            0.014486,            0.009865,            0.009865,            0.009865
                   5,            0.061391,            0.029818,            0.014291,             0.38067,             0.23532,             0.22301,            0.097114,            0.057538,             0.02988,            0.014098,             0.00982,             0.00982,             0.00982
                   6,            0.060678,            0.029856,            0.013845,              0.4262,             0.23471,             0.23454,             0.10383,            0.056863,            0.030945,            0.013422,            0.009775,            0.009775,            0.009775
                   7,            0.060066,            0.029335,            0.013584,             0.39534,             0.25023,             0.24195,             0.10611,            0.055898,            0.030162,            0.013352,             0.00973,             0.00973,             0.00973
                   8,            0.059689,            0.029412,            0.013288,             0.42632,              0.2419,             0.24268,             0.10667,            0.055758,            0.029421,            0.013158,            0.009685,            0.009685,            0.009685
                   9,            0.059422,            0.029211,            0.013162,             0.41431,              0.2624,             0.25989,             0.11695,            0.054826,            0.029279,              0.0125,             0.00964,             0.00964,             0.00964
                  10,            0.058806,            0.029258,            0.012924,             0.46201,              0.2595,             0.26667,              0.1212,            0.054577,            0.029072,            0.012293,            0.009595,            0.009595,            0.009595
                  11,            0.058699,            0.029183,            0.012729,             0.42151,             0.26838,             0.26483,             0.12029,            0.054453,            0.029199,            0.012605,             0.00955,             0.00955,             0.00955
                  12,            0.058634,            0.029097,            0.012747,             0.42528,               0.265,             0.26164,             0.11819,            0.054231,            0.029141,            0.012478,            0.009505,            0.009505,            0.009505
                  13,            0.058285,            0.028954,            0.012521,             0.43134,             0.26644,              0.2652,             0.12044,            0.054205,             0.02911,            0.012205,             0.00946,             0.00946,             0.00946
                  14,            0.057958,            0.028906,            0.012496,             0.41893,             0.28545,             0.27471,             0.12602,            0.053622,            0.028964,            0.011925,            0.009415,            0.009415,            0.009415
                  15,            0.057985,            0.029109,            0.012412,             0.42938,             0.29347,             0.28178,             0.12952,            0.053232,            0.028865,            0.011821,             0.00937,             0.00937,             0.00937
                  16,            0.057784,            0.028839,            0.012236,             0.45449,             0.28667,             0.28612,             0.13186,            0.053086,            0.028899,            0.011819,            0.009325,            0.009325,            0.009325
                  17,             0.05763,            0.028827,            0.012115,             0.46542,             0.28256,             0.28407,             0.13329,            0.052856,            0.028722,            0.011878,             0.00928,             0.00928,             0.00928
                  18,            0.057588,            0.028876,            0.012211,             0.47001,             0.29291,             0.29306,             0.13719,            0.052686,            0.028754,            0.011676,            0.009235,            0.009235,            0.009235
                  19,             0.05734,             0.02884,            0.012062,             0.44468,             0.29709,             0.28735,              0.1307,            0.052845,            0.028698,            0.011875,             0.00919,             0.00919,             0.00919
                  20,            0.057177,            0.028668,            0.011829,             0.44244,             0.29963,             0.29312,              0.1346,            0.052496,            0.028618,            0.011831,            0.009145,            0.009145,            0.009145
                  21,            0.057177,            0.028762,            0.011944,             0.46849,               0.294,             0.29677,             0.13773,            0.052399,             0.02871,            0.011544,              0.0091,              0.0091,              0.0091
                  22,            0.056998,            0.028728,            0.011813,             0.48654,             0.29741,             0.30076,             0.13962,            0.052448,            0.028707,            0.011487,            0.009055,            0.009055,            0.009055
                  23,            0.057119,            0.028765,            0.011834,             0.48305,             0.29686,             0.30412,             0.14235,            0.052223,            0.028541,            0.011303,             0.00901,             0.00901,             0.00901
                  24,            0.056778,             0.02845,             0.01169,             0.49488,             0.29623,             0.30049,             0.13938,            0.052259,            0.028577,             0.01147,            0.008965,            0.008965,            0.008965
                  25,            0.056598,            0.028407,            0.011519,              0.4771,             0.30213,             0.30214,             0.13988,            0.052063,            0.028564,            0.011564,             0.00892,             0.00892,             0.00892
                  26,            0.056564,             0.02864,            0.011613,             0.49279,             0.30348,             0.30631,             0.14358,            0.052042,            0.028585,            0.011327,            0.008875,            0.008875,            0.008875
                  27,            0.056729,            0.028702,            0.011622,             0.46879,             0.31217,             0.30896,             0.14575,            0.051892,            0.028514,             0.01119,             0.00883,             0.00883,             0.00883
                  28,            0.056429,            0.028525,            0.011543,             0.49958,             0.30337,             0.31177,             0.14668,            0.051803,            0.028507,            0.011078,            0.008785,            0.008785,            0.008785
                  29,            0.056493,            0.028533,            0.011459,             0.51848,             0.29919,             0.31003,             0.14537,            0.051867,            0.028521,            0.011047,             0.00874,             0.00874,             0.00874
                  30,            0.056434,            0.028415,            0.011352,               0.504,             0.30286,             0.30984,             0.14491,            0.051852,            0.028509,            0.011062,            0.008695,            0.008695,            0.008695
                  31,            0.056369,            0.028568,            0.011431,             0.51483,             0.30132,             0.31233,              0.1462,            0.051729,            0.028506,            0.011025,             0.00865,             0.00865,             0.00865
