               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089112,            0.033519,            0.026405,             0.44245,             0.12999,            0.099194,             0.03742,             0.07268,            0.032949,            0.020153,            0.070068,           0.0033258,           0.0033258
                   1,            0.076572,            0.033285,            0.019288,             0.45282,              0.1897,             0.15707,            0.065863,            0.066438,            0.033106,            0.016876,            0.040038,           0.0066291,           0.0066291
                   2,            0.071967,            0.033442,            0.017269,             0.46216,              0.1802,             0.16143,            0.067466,            0.066681,            0.032783,            0.016447,           0.0099782,           0.0099025,           0.0099025
                   3,             0.06962,            0.033184,            0.016111,             0.50216,              0.2115,             0.19534,            0.081976,            0.063695,            0.032798,            0.015259,            0.009865,            0.009865,            0.009865
                   4,            0.068013,            0.032774,            0.015239,             0.40079,             0.21381,             0.21615,            0.094549,            0.062758,            0.032252,            0.014526,            0.009865,            0.009865,            0.009865
                   5,            0.067027,            0.032709,            0.014634,             0.34015,             0.23697,              0.2211,            0.095578,            0.062179,            0.031921,            0.014549,             0.00982,             0.00982,             0.00982
                   6,            0.066297,            0.032779,            0.014257,              0.4187,             0.23626,             0.23459,             0.10184,             0.06222,            0.032782,            0.014045,            0.009775,            0.009775,            0.009775
                   7,             0.06578,            0.032246,            0.013967,             0.41975,             0.24429,              0.2459,             0.10662,            0.060909,            0.031748,             0.01358,             0.00973,             0.00973,             0.00973
                   8,            0.065453,             0.03233,            0.013713,             0.40928,              0.2477,             0.25191,             0.11288,            0.060147,            0.031549,             0.01336,            0.009685,            0.009685,            0.009685
                   9,            0.065068,            0.032136,            0.013535,             0.43206,              0.2676,             0.26008,             0.11565,            0.059682,             0.03127,            0.013295,             0.00964,             0.00964,             0.00964
                  10,            0.064671,            0.032184,            0.013354,             0.41372,              0.2731,             0.26837,             0.12077,            0.059361,             0.03127,            0.013074,            0.009595,            0.009595,            0.009595
                  11,            0.064467,            0.032118,            0.013208,             0.43137,             0.27674,             0.27363,             0.12423,            0.059073,            0.031136,            0.012909,             0.00955,             0.00955,             0.00955
                  12,            0.064299,            0.031981,            0.013165,             0.41196,             0.28355,             0.27012,             0.12261,            0.059031,            0.031003,            0.012738,            0.009505,            0.009505,            0.009505
                  13,            0.064018,            0.031859,               0.013,             0.42779,             0.28781,             0.27824,             0.12741,            0.058477,            0.030882,            0.012485,             0.00946,             0.00946,             0.00946
                  14,             0.06383,            0.031856,            0.012959,             0.44889,             0.27753,             0.27491,             0.12604,            0.058511,            0.031028,            0.012811,            0.009415,            0.009415,            0.009415
                  15,            0.063756,            0.032044,            0.012808,             0.43104,             0.28067,             0.27662,             0.12748,            0.058439,            0.030933,            0.012856,             0.00937,             0.00937,             0.00937
